Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, EX238LH, Y52Q39, Bude South, On or near Church Path
Criminal damage and arson: England, South West, Cornwall, Cornwall, North Cornwall, EX239JE, Y52Q39, Flexbury and Poughill, On or near Woodville Road
Criminal damage and arson: England, South West, Cornwall, Cornwall, North Cornwall, EX239QA, Y52Q39, Flexbury and Poughill, On or near North Close
Criminal damage and arson: England, South West, Cornwall, Cornwall, North Cornwall, EX239QT, Y52Q39, Flexbury and Poughill, On or near Penstowe Road
Criminal damage and arson: England, South West, Cornwall, Cornwall, North Cornwall, EX239SD, Y52Q39, Flexbury and Poughill, On or near Sargents Meadow
Criminal damage and arson: England, South West, Cornwall, Cornwall, North Cornwall, EX239JE, Y52Q39, Flexbury and Poughill, On or near Woodville Road
Criminal damage and arson: England, South West, Cornwall, Cornwall, North Cornwall, EX239QP, Y52Q39, Flexbury and Poughill, On or near Park/Open Space
Criminal damage and arson: England, South West, Cornwall, Cornwall, North Cornwall, EX239PZ, Y52Q39, Flexbury and Poughill, On or near Parking Area
Criminal damage and arson: England, South West, Devon, Cornwall, Cornwall, North Cornwall, EX239PN, Y52Q39, Flexbury and Poughill, On or near A39
Criminal damage and arson: England, South West, Cornwall, Cornwall, North Cornwall, EX239PY, Y52Q39, Flexbury and Poughill, On or near Parking Area
Criminal damage and arson: England, South West, Cornwall, Cornwall, North Cornwall, EX239JE, Y52Q39, Flexbury and Poughill, On or near Woodville Road
Other theft: England, South West, Cornwall, Cornwall, North Cornwall, EX239QA, Y52Q39, Flexbury and Poughill, On or near North Close
Other theft: England, South West, Cornwall, Cornwall, North Cornwall, EX239SD, Y52Q39, Flexbury and Poughill, On or near Sargents Meadow
Other theft: England, South West, Cornwall, Cornwall, North Cornwall, EX239JE, Y52Q39, Flexbury and Poughill, On or near Woodville Road
Other theft: England, South West, Devon, Cornwall, Cornwall, North Cornwall, Torridge and West Devon, Torridge District, EX239PQ, Y52Q39, Flexbury and Poughill, On or near Darracott Hill
Violence and sexual offences: England, South West, Cornwall, Cornwall, North Cornwall, EX239QF, Y52Q39, Flexbury and Poughill, On or near The Square
Violence and sexual offences: England, South West, Cornwall, Cornwall, North Cornwall, EX239JE, Y52Q39, Flexbury and Poughill, On or near Woodville Road
Violence and sexual offences: England, South West, Cornwall, Cornwall, North Cornwall, EX239JE, Y52Q39, Flexbury and Poughill, On or near Woodville Road
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, EX230DU, Y52Q39, Poundstock, On or near Forge Gardens
Criminal damage and arson: England, South West, Cornwall, Cornwall, North Cornwall, EX239LX, Y52Q39, Flexbury and Poughill, On or near Park/Open Space
Criminal damage and arson: England, South West, Cornwall, Cornwall, North Cornwall, EX239NB, Y52Q39, Bude North and Stratton, On or near Smallridge Lane
Criminal damage and arson: England, South West, Cornwall, Cornwall, North Cornwall, EX239LX, Y52Q39, Flexbury and Poughill, On or near Park/Open Space
Other theft: England, South West, Cornwall, Cornwall, North Cornwall, EX239NB, Y52Q39, Bude North and Stratton, On or near Smallridge Lane
Other theft: England, South West, Cornwall, Cornwall, North Cornwall, EX230PJ, Y52Q39, Poundstock, On or near Madeira Drive
Public order: England, South West, Cornwall, Cornwall, North Cornwall, EX239NW, Y52Q39, Flexbury and Poughill, On or near A3072
Violence and sexual offences: England, South West, Cornwall, Cornwall, North Cornwall, EX230DR, Y52Q39, Poundstock, On or near Bangors Estate
Violence and sexual offences: England, South West, Cornwall, Cornwall, North Cornwall, EX239NJ, Y52Q39, Flexbury and Poughill, On or near B3254
Violence and sexual offences: England, South West, Cornwall, Cornwall, North Cornwall, EX230AB, Y52Q39, Poundstock, On or near Leverlake Road
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, EX230BZ, Y52Q39, Poundstock, On or near Park/Open Space
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, EX226TG, Y52Q39, Poundstock, On or near St Annes Close
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, On or near Park/Open Space
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, EX226TQ, Y52Q39, Poundstock, On or near Paradise Park
Criminal damage and arson: England, South West, Cornwall, Cornwall, North Cornwall, EX226RY, Y52Q39, Poundstock, On or near Victory Road
Criminal damage and arson: England, South West, Cornwall, Cornwall, North Cornwall, EX226SE, Y52Q39, Poundstock, On or near Park/Open Space
Criminal damage and arson: England, South West, Cornwall, Cornwall, North Cornwall, EX226RY, Y52Q39, Poundstock, On or near Victory Road
Criminal damage and arson: England, South West, Cornwall, Cornwall, North Cornwall, EX226RY, Y52Q39, Poundstock, On or near Victory Road
Criminal damage and arson: England, South West, Cornwall, Cornwall, North Cornwall, EX226RY, Y52Q39, Poundstock, On or near Victory Road
Drugs: England, South West, Cornwall, Cornwall, North Cornwall, PL158NU, Y52Q39, Launceston North, On or near B3254
Other theft: England, South West, Cornwall, Cornwall, North Cornwall, EX226RY, Y52Q39, Poundstock, On or near Victory Road
Other theft: England, South West, Cornwall, Cornwall, North Cornwall, EX226RY, Y52Q39, Poundstock, On or near Victory Road
Other theft: England, South West, Devon, Cornwall, Cornwall, North Cornwall, Torridge and West Devon, Torridge District, EX226LF, Y52Q39, Tamarside, On or near Park/Open Space
Violence and sexual offences: England, South West, Cornwall, Cornwall, North Cornwall, EX226TG, Y52Q39, Poundstock, On or near St Annes Close
Violence and sexual offences: England, South West, Cornwall, Cornwall, North Cornwall, EX226UB, Y52Q39, Poundstock, On or near B3254
Violence and sexual offences: England, South West, Cornwall, Cornwall, North Cornwall, EX226RY, Y52Q39, Poundstock, On or near Victory Road
Violence and sexual offences: England, South West, Cornwall, Cornwall, North Cornwall, EX230BZ, Y52Q39, Poundstock, On or near Park/Open Space
Violence and sexual offences: England, South West, Cornwall, Cornwall, North Cornwall, EX226TG, Y52Q39, Poundstock, On or near St Annes Close
Violence and sexual offences: England, South West, Cornwall, Cornwall, North Cornwall, EX226RY, Y52Q39, Poundstock, On or near Victory Road
Violence and sexual offences: England, South West, Cornwall, Cornwall, North Cornwall, EX226RY, Y52Q39, Poundstock, On or near Victory Road
Violence and sexual offences: England, South West, Cornwall, Cornwall, North Cornwall, PL158NU, Y52Q39, Launceston North, On or near B3254
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, PL339DU, Y52Q39, St Teath, On or near Westdown Road
Possession of weapons: England, South West, Cornwall, Cornwall, North Cornwall, PL303PF, Y52Q39, St Teath, On or near Parking Area
Violence and sexual offences: England, South West, Cornwall, Cornwall, North Cornwall, PL339DN, Y52Q39, St Teath, On or near Atlantic Road
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, PL339DA, Y52Q39, St Teath, On or near Parking Area
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, PL340ER, Y52Q39, Tintagel, On or near Trelake Lane
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, PL339AQ, Y52Q39, St Teath, On or near High Street
Burglary: England, South West, Cornwall, Cornwall, North Cornwall, PL339AN, Y52Q39, St Teath, On or near Penmead Road
Criminal damage and arson: England, South West, Cornwall, Cornwall, North Cornwall, PL339DA, Y52Q39, St Teath, On or near Parking Area
Criminal damage and arson: England, South West, Cornwall, Cornwall, North Cornwall, PL339AQ, Y52Q39, St Teath, On or near High Street
Criminal damage and arson: England, South West, Cornwall, Cornwall, North Cornwall, PL340EX, Y52Q39, Tintagel, On or near Trebarwith Road
Public order: England, South West, Cornwall, Cornwall, North Cornwall, PL339BB, Y52Q39, St Teath, On or near West Lane
Vehicle crime: England, South West, Cornwall, Cornwall, North Cornwall, PL339AQ, Y52Q39, St Teath, On or near High Street
Violence and sexual offences: England, South West, Cornwall, Cornwall, North Cornwall, PL339BT, Y52Q39, St Teath, On or near Parc Pennkarn
Violence and sexual offences: England, South West, Cornwall, Cornwall, North Cornwall, PL339AQ, Y52Q39, St Teath, On or near High Street
Violence and sexual offences: England, South West, Cornwall, Cornwall, North Cornwall, PL340HB, Y52Q39, Tintagel, On or near Parking Area
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, PL340DP, Y52Q39, Tintagel, On or near Fore Street
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, PL340DP, Y52Q39, Tintagel, On or near Fore Street
Criminal damage and arson: England, South West, Cornwall, Cornwall, North Cornwall, PL340AG, Y52Q39, Tintagel, On or near Bossiney Road
Criminal damage and arson: England, South West, Cornwall, Cornwall, North Cornwall, PL340EL, Y52Q39, Tintagel, On or near Atlantic Close
Other theft: England, South West, Cornwall, Cornwall, North Cornwall, PL340EL, Y52Q39, Tintagel, On or near Atlantic Close
Possession of weapons: England, South West, Cornwall, Cornwall, North Cornwall, PL340AG, Y52Q39, Tintagel, On or near Bossiney Road
Public order: England, South West, Cornwall, Cornwall, North Cornwall, PL340DJ, Y52Q39, Tintagel, On or near Bus/Coach Station
Public order: England, South West, Cornwall, Cornwall, North Cornwall, PL340AG, Y52Q39, Tintagel, On or near Bossiney Road
Criminal damage and arson: England, South West, Cornwall, Cornwall, North Cornwall, PL350BG, Y52Q39, Tintagel, On or near Mount Pleasant
Drugs: England, South West, Cornwall, Cornwall, North Cornwall, Cornwall, North Cornwall, PL350DR, Y52Q39, Tintagel, On or near Cambeak
Other theft: England, South West, Cornwall, Cornwall, North Cornwall, EX230PG, Y52Q39, Poundstock, On or near Church Park Road
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, PL158RJ, Y52Q39, Launceston North, On or near The Orchard
Criminal damage and arson: England, South West, Cornwall, Cornwall, North Cornwall, PL158RJ, Y52Q39, Launceston North, On or near The Orchard
Criminal damage and arson: England, South West, Cornwall, Cornwall, North Cornwall, PL158LX, Y52Q39, Launceston North, On or near Park/Open Space
Violence and sexual offences: England, South West, Cornwall, Cornwall, North Cornwall, PL158RJ, Y52Q39, Launceston North, On or near Mayna Parc
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, PL158UP, Y52Q39, Tintagel, On or near Knapmedown
Burglary: England, South West, Cornwall, Cornwall, North Cornwall, PL329XZ, Y52Q39, Camelford, On or near Airport/Airfield
Criminal damage and arson: England, South West, Cornwall, Cornwall, North Cornwall, PL329YD, Y52Q39, Camelford, On or near A39
Criminal damage and arson: England, South West, Cornwall, Cornwall, North Cornwall, PL158UP, Y52Q39, Tintagel, On or near Knapmedown
Criminal damage and arson: England, South West, Cornwall, Cornwall, North Cornwall, PL158UP, Y52Q39, Tintagel, On or near Knapmedown
Other theft: England, South West, Cornwall, Cornwall, North Cornwall, EX230BQ, Y52Q39, Tintagel, On or near Parking Area
Other theft: England, South West, Cornwall, Cornwall, North Cornwall, PL329YD, Y52Q39, Camelford, On or near A39
Violence and sexual offences: England, South West, Cornwall, Cornwall, North Cornwall, PL158RT, Y52Q39, Launceston North, On or near Sports/Recreation Area
Violence and sexual offences: England, South West, Cornwall, Cornwall, North Cornwall, PL158WE, Y52Q39, Camelford, On or near Hendra Garth
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, PL329FT, Y52Q39, Camelford, On or near College Road
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, PL329PE, Y52Q39, Camelford, On or near Manor Gardens
Criminal damage and arson: England, South West, Cornwall, Cornwall, North Cornwall, PL329PE, Y52Q39, Camelford, On or near Shopping Area
Drugs: England, South West, Cornwall, Cornwall, North Cornwall, PL329SB, Y52Q39, Camelford, On or near Shilla Park
Other theft: England, South West, Cornwall, Cornwall, North Cornwall, PL329SB, Y52Q39, Camelford, On or near Shilla Park
Other theft: England, South West, Cornwall, Cornwall, North Cornwall, PL329UH, Y52Q39, Camelford, On or near Dark Lane
Possession of weapons: England, South West, Cornwall, Cornwall, North Cornwall, PL329PE, Y52Q39, Camelford, On or near Manor Gardens
Vehicle crime: England, South West, Cornwall, Cornwall, North Cornwall, PL329UX, Y52Q39, Camelford, On or near Trevia Lane
Violence and sexual offences: England, South West, Cornwall, Cornwall, North Cornwall, PL329SB, Y52Q39, Camelford, On or near Shilla Park
Other crime: England, South West, Cornwall, Cornwall, North Cornwall, PL329SB, Y52Q39, Camelford, On or near Shilla Park
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, PL329PL, Y52Q39, Camelford, On or near Fore Street
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, PL329UY, Y52Q39, Camelford, On or near Dymond Close
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, PL329PL, Y52Q39, Camelford, On or near Fore Street
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, PL329PL, Y52Q39, Camelford, On or near Supermarket
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, PL329QT, Y52Q39, Camelford, On or near Llewellyn Close
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, PL329PJ, Y52Q39, Camelford, On or near Anvil Road
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, PL329UW, Y52Q39, Camelford, On or near Chapel Street
Criminal damage and arson: England, South West, Cornwall, Cornwall, North Cornwall, PL329PL, Y52Q39, Camelford, On or near Supermarket
Criminal damage and arson: England, South West, Cornwall, Cornwall, North Cornwall, PL329PL, Y52Q39, Camelford, On or near Supermarket
Criminal damage and arson: England, South West, Cornwall, Cornwall, North Cornwall, PL329PL, Y52Q39, Camelford, On or near Supermarket
Violence and sexual offences: England, South West, Cornwall, Cornwall, North Cornwall, PL329PL, Y52Q39, Camelford, On or near Supermarket
Violence and sexual offences: England, South West, Cornwall, Cornwall, North Cornwall, PL329UL, Y52Q39, Camelford, On or near Mount Camel
Violence and sexual offences: England, South West, Cornwall, Cornwall, North Cornwall, PL329UQ, Y52Q39, Camelford, On or near Market Place
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, PL157HE, Y52Q39, Launceston South, On or near Little Woburn Close
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, PL157BY, Y52Q39, Launceston Central, On or near Western Road
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, PL157BY, Y52Q39, Launceston Central, On or near Western Road
Drugs: England, South West, Cornwall, Cornwall, North Cornwall, PL157DD, Y52Q39, Launceston Central, On or near St Johns Road
Other theft: England, South West, Cornwall, Cornwall, North Cornwall, PL157DT, Y52Q39, Launceston Central, On or near Moorland Road
Other theft: England, South West, Cornwall, Cornwall, North Cornwall, PL157PF, Y52Q39, Launceston South, On or near Sports/Recreation Area
Other theft: England, South West, Cornwall, Cornwall, North Cornwall, PL157EH, Y52Q39, Altarnun, On or near Chapel Park
Other theft: England, South West, Cornwall, Cornwall, North Cornwall, PL157DD, Y52Q39, Launceston Central, On or near St Johns Road
Violence and sexual offences: England, South West, Cornwall, Cornwall, North Cornwall, PL157EH, Y52Q39, Altarnun, On or near Chapel Park
Violence and sexual offences: England, South West, Cornwall, Cornwall, North Cornwall, PL157DT, Y52Q39, Launceston Central, On or near George Fox Close
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, PL159HU, Y52Q39, Launceston South, On or near Hurdon Way
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, PL159TJ, Y52Q39, Launceston Central, On or near Kensey Valley Meadow
Bicycle theft: England, South West, Cornwall, Cornwall, North Cornwall, PL157HF, Y52Q39, Launceston South, On or near Dunheved Fields
Burglary: England, South West, Cornwall, Cornwall, North Cornwall, PL159HU, Y52Q39, Launceston South, On or near Hurdon Way
Criminal damage and arson: England, South West, Cornwall, Cornwall, North Cornwall, PL159AZ, Y52Q39, Launceston South, On or near Fair Park Close
Criminal damage and arson: England, South West, Cornwall, Cornwall, North Cornwall, PL159AZ, Y52Q39, Launceston South, On or near Fair Park Close
Criminal damage and arson: England, South West, Cornwall, Cornwall, North Cornwall, PL159JY, Y52Q39, Launceston South, On or near Robin Drive
Shoplifting: England, South West, Cornwall, Cornwall, North Cornwall, PL159BY, Y52Q39, Launceston South, On or near Petrol Station
Violence and sexual offences: England, South West, Cornwall, Cornwall, North Cornwall, PL157HF, Y52Q39, Launceston South, On or near Dunheved Fields
Violence and sexual offences: England, South West, Cornwall, Cornwall, North Cornwall, PL159HZ, Y52Q39, Launceston South, On or near Hospital
Violence and sexual offences: England, South West, Cornwall, Cornwall, North Cornwall, PL157HF, Y52Q39, Launceston South, On or near Dunheved Fields
Violence and sexual offences: England, South West, Cornwall, Cornwall, North Cornwall, PL159DF, Y52Q39, Launceston South, On or near Trecarrel Close
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, PL157AS, Y52Q39, Launceston Central, On or near Parking Area
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, PL158HF, Y52Q39, Launceston North, On or near Duke Street
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, PL158BJ, Y52Q39, Launceston Central, On or near Castle Street
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, PL158PA, Y52Q39, Launceston Central, On or near Priory Park Road
Drugs: England, South West, Cornwall, Cornwall, North Cornwall, PL157AS, Y52Q39, Launceston Central, On or near Parking Area
Other theft: England, South West, Cornwall, Cornwall, North Cornwall, PL158EN, Y52Q39, Launceston North, On or near Petrol Station
Other theft: England, South West, Cornwall, Cornwall, North Cornwall, PL158GX, Y52Q39, Launceston Central, On or near Riverside Mills
Other theft: England, South West, Cornwall, Cornwall, North Cornwall, PL158EN, Y52Q39, Launceston North, On or near Petrol Station
Other theft: England, South West, Cornwall, Cornwall, North Cornwall, PL158EN, Y52Q39, Launceston North, On or near Petrol Station
Violence and sexual offences: England, South West, Cornwall, Cornwall, North Cornwall, PL158GX, Y52Q39, Launceston Central, On or near Riverside Mills
Violence and sexual offences: England, South West, Cornwall, Cornwall, North Cornwall, PL158SD, Y52Q39, Launceston North, On or near Bickford Road
Violence and sexual offences: England, South West, Cornwall, Cornwall, North Cornwall, PL158GX, Y52Q39, Launceston Central, On or near Riverside Mills
Violence and sexual offences: England, South West, Cornwall, Cornwall, North Cornwall, PL158DD, Y52Q39, Launceston Central, On or near Prince Charles Close
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, PL158EA, Y52Q39, Launceston Central, On or near Queen Elizabeth Road
Violence and sexual offences: England, South West, Cornwall, Cornwall, North Cornwall, PL158LF, Y52Q39, Launceston North, On or near St Leonard'S Road
Violence and sexual offences: England, South West, Cornwall, Cornwall, North Cornwall, PL158JR, Y52Q39, Launceston Central, On or near Duchy Close
Violence and sexual offences: England, South West, Cornwall, Cornwall, North Cornwall, PL158DD, Y52Q39, Launceston Central, On or near Prince Philip Road
Violence and sexual offences: England, South West, Cornwall, Cornwall, North Cornwall, PL158DD, Y52Q39, Launceston Central, On or near Prince Philip Road
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, PL158AY, Y52Q39, Launceston South, On or near Southgate Street
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, PL157AS, Y52Q39, Launceston Central, On or near Westgate Street
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, PL158BB, Y52Q39, Launceston South, On or near Tower Street
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, PL159BB, Y52Q39, Launceston South, On or near Race Hill
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, PL157DR, Y52Q39, Launceston South, On or near Broad Street
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, PL158AY, Y52Q39, Launceston South, On or near Southgate Street
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, PL158AZ, Y52Q39, Launceston South, On or near Conference/Exhibition Centre
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, PL157DR, Y52Q39, Launceston South, On or near Broad Street
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, PL158AZ, Y52Q39, Launceston South, On or near Conference/Exhibition Centre
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, PL158AZ, Y52Q39, Launceston South, On or near High Street
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, PL158DA, Y52Q39, Launceston Central, On or near Station Road
Burglary: England, South West, Cornwall, Cornwall, North Cornwall, PL158AB, Y52Q39, Launceston South, On or near Madford Lane
Other theft: England, South West, Cornwall, Cornwall, North Cornwall, PL159DP, Y52Q39, Launceston South, On or near Parking Area
Other theft: England, South West, Cornwall, Cornwall, North Cornwall, PL159DP, Y52Q39, Launceston South, On or near Parking Area
Violence and sexual offences: England, South West, Cornwall, Cornwall, North Cornwall, PL159DT, Y52Q39, Launceston Central, On or near Kensey Court
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, PL157PA, Y52Q39, Stokeclimsland, On or near Lynher Close
Anti-social behaviour: England, South West, Cornwall, Cornwall, North Cornwall, PL157RY, Y52Q39, Altarnun, On or near Penpont View
Burglary: England, South West, Cornwall, Cornwall, North Cornwall, PL157PQ, Y52Q39, Stokeclimsland, On or near Georges Paddock
Criminal damage and arson: England, South West, Cornwall, Cornwall, North Cornwall, PL157RY, Y52Q39, Altarnun, On or near Penpont View
