Other crime: England, Barking and Dagenham London Boro, Barking, Barking and Dagenham, London, Redbridge London Boro, Redbridge, Ilford South, IG118TG, Y53Q36, Abbey, On or near Cranleigh Gardens
Anti-social behaviour: England, Yorkshire and the Humber, West Yorkshire, Bradford District, Bradford East, BD2 2LQ, Y51Q32, Eccleshill, On or near Acre Close
Other theft: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD236AQ, Y51Q32, Barden Fell, On or near A59
Possession of weapons: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD236AW, Y51Q32, Barden Fell, On or near Parking Area
Violence and sexual offences: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD236BY, Y51Q32, Grassington, On or near Woodhouse Lane
Violence and sexual offences: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, West Yorkshire, BD236EQ, Y51Q32, Barden Fell, On or near The Spinney
Violence and sexual offences: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, West Yorkshire, BD236EQ, Y51Q32, Barden Fell, On or near The Spinney
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD236NF, Y51Q32, Embsay-with-Eastby, On or near Tannery Lane
Burglary: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD236RR, Y51Q32, Embsay-with-Eastby, On or near Park/Open Space
Criminal damage and arson: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD236SW, Y51Q32, Embsay-with-Eastby, On or near Barden Road
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231ND, Y51Q32, Skipton North, On or near Hill Rise
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231UD, Y51Q32, Gargrave and Malhamdale, On or near Ling Fields
Burglary: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231LX, Y51Q32, Skipton North, On or near Tarn Moor Crescent
Other theft: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231ND, Y51Q32, Skipton North, On or near Raikes Avenue
Other theft: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231LX, Y51Q32, Skipton North, On or near Raikes Road
Other theft: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231LX, Y51Q32, Skipton North, On or near Raikes Road
Other theft: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231LX, Y51Q32, Skipton North, On or near Tarn Moor Crescent
Other theft: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231ND, Y51Q32, Skipton North, On or near Raikes Avenue
Other theft: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231NF, Y51Q32, Skipton North, On or near Wood Close
Other theft: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231ND, Y51Q32, Skipton North, On or near Raikes Avenue
Other theft: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231LX, Y51Q32, Skipton North, On or near Tarn Moor Crescent
Other theft: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231NE, Y51Q32, Skipton North, On or near Raikeswood Road
Violence and sexual offences: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231UF, Y51Q32, Skipton North, On or near Park View
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231AY, Y51Q32, Skipton East, On or near Kingsway
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231AY, Y51Q32, Skipton East, On or near Kingsway
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231AT, Y51Q32, Skipton East, On or near Regent Avenue
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231HN, Y51Q32, Skipton East, On or near Queen'S Street
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD232LL, Y51Q32, Skipton East, On or near Wensleydale Avenue
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD232LL, Y51Q32, Skipton East, On or near Wensleydale Avenue
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231HR, Y51Q32, Skipton East, On or near Springfields
Criminal damage and arson: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231HR, Y51Q32, Skipton East, On or near Springfields
Violence and sexual offences: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD232LE, Y51Q32, Skipton East, On or near Lytham Close
Violence and sexual offences: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231ER, Y51Q32, Skipton East, On or near Police Station
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231EJ, Y51Q32, Skipton North, On or near Bunkers Hill
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231QD, Y51Q32, Skipton North, On or near Crossley Place
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231JZ, Y51Q32, Skipton North, On or near Bus/Coach Station
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231PS, Y51Q32, Skipton North, On or near Hall Croft
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231EJ, Y51Q32, Skipton North, On or near Bunkers Hill
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231PW, Y51Q32, Skipton North, On or near St Stephens Mews
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231AJ, Y51Q32, Skipton North, On or near Parking Area
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231QY, Y51Q32, Skipton West, On or near Swadford Street
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231JZ, Y51Q32, Skipton North, On or near Bus/Coach Station
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD232HD, Y51Q32, Skipton North, On or near Ermysted Street
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231NP, Y51Q32, Skipton North, On or near Mill Bridge
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231JZ, Y51Q32, Skipton North, On or near Bus/Coach Station
Other theft: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231QL, Y51Q32, Skipton North, On or near Salisbury Street
Other theft: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231RJ, Y51Q32, Skipton West, On or near Coach Street
Other theft: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231QL, Y51Q32, Skipton North, On or near Salisbury Street
Other theft: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231QL, Y51Q32, Skipton North, On or near Salisbury Street
Other theft: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231QP, Y51Q32, Skipton North, On or near Gainsborough Court
Other theft: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231PE, Y51Q32, Skipton North, On or near Further/Higher Educational Building
Possession of weapons: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231NP, Y51Q32, Skipton North, On or near Mill Bridge
Public order: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231PE, Y51Q32, Skipton North, On or near Further/Higher Educational Building
Shoplifting: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231RB, Y51Q32, Skipton North, On or near Bay Horse Yard
Shoplifting: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231JZ, Y51Q32, Skipton North, On or near Bus/Coach Station
Shoplifting: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231LG, Y51Q32, Skipton North, On or near Caroline Square
Shoplifting: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231LG, Y51Q32, Skipton North, On or near Caroline Square
Shoplifting: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231PE, Y51Q32, Skipton North, On or near Further/Higher Educational Building
Shoplifting: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231QY, Y51Q32, Skipton West, On or near Swadford Street
Shoplifting: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231LG, Y51Q32, Skipton North, On or near Caroline Square
Shoplifting: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231JZ, Y51Q32, Skipton North, On or near Bus/Coach Station
Shoplifting: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231NX, Y51Q32, Skipton North, On or near Victoria Terrace
Theft from the person: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231JZ, Y51Q32, Skipton North, On or near Bus/Coach Station
Violence and sexual offences: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231LG, Y51Q32, Skipton North, On or near Caroline Square
Other crime: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231LG, Y51Q32, Skipton North, On or near Caroline Square
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD232DR, Y51Q32, Skipton South, On or near Nelson Street
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD232SW, Y51Q32, Skipton South, On or near North Parade
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD232RU, Y51Q32, Skipton South, On or near Moorview Road
Burglary: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD232SH, Y51Q32, Skipton South, On or near Simbach Close
Criminal damage and arson: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD232EZ, Y51Q32, Skipton North, On or near Little Brook
Criminal damage and arson: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD232SB, Y51Q32, Skipton South, On or near Whinny Gill Road
Public order: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD232RS, Y51Q32, Skipton South, On or near Jenny Gill Crescent
Violence and sexual offences: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD232EZ, Y51Q32, Skipton North, On or near Little Brook
Violence and sexual offences: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD232RS, Y51Q32, Skipton South, On or near Jenny Gill Crescent
Violence and sexual offences: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD232SB, Y51Q32, Skipton South, On or near Whinny Gill Road
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD232PR, Y51Q32, Skipton South, On or near Milton Street
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD232DY, Y51Q32, Skipton South, On or near Southey Street
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD232UL, Y51Q32, Skipton West, On or near Mill Lane
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD232UT, Y51Q32, Skipton West, On or near Upper Sackville Street
Burglary: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD232DY, Y51Q32, Skipton South, On or near Southey Street
Burglary: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD232DS, Y51Q32, Skipton South, On or near East Castle Street
Criminal damage and arson: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD232DS, Y51Q32, Skipton South, On or near East Castle Street
Other theft: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD232UT, Y51Q32, Skipton West, On or near Upper Sackville Street
Violence and sexual offences: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD232PR, Y51Q32, Skipton South, On or near Milton Street
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD232QQ, Y51Q32, Skipton South, On or near Cawder Ghyll
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD232QL, Y51Q32, Skipton South, On or near Sharphaw Avenue
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD232SJ, Y51Q32, Skipton South, On or near Rombalds Drive
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD232SJ, Y51Q32, Skipton South, On or near Rombalds Drive
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD232QL, Y51Q32, Skipton South, On or near Ramshaw Drive
Burglary: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD232PY, Y51Q32, Skipton South, On or near Roughaw Road
Violence and sexual offences: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD232QJ, Y51Q32, Skipton South, On or near Cawder Mews
Violence and sexual offences: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD232SJ, Y51Q32, Skipton South, On or near Rombalds Drive
Anti-social behaviour: England, Skipton and Ripon, Yorkshire and the Humber, Craven District, North Yorkshire, BD231QY, Y51Q32, Skipton West, On or near Parking Area
